Mach,CX0,CX2,CY0,CZ0,CNa0,CNa2,CNpa0,CNpa2,Cl0,Clp,Cld,Cm0,Cn0,CMa0,CMa2,CMpa0,CMpa2,CMq
0.4,-0.472,-3.32,0,0,13.71,0,0,0,0,-4.5,0,0,0,-22.01381098,0,0,0,-207.1
0.6,-0.473,-3.32,0,0,14.31,0,0,0,0,-4.7,0,0,0,-23.19734756,0,0,0,-212.3
0.7,-0.516,-3.56,0,0,15.1,0,0,0,0,-5.05,0,0,0,-24.48567073,0,0,0,-217.15
0.75,-0.538,-3.68,0,0,15.49,0,0,0,0,-5.2,0,0,0,-25.08496951,0,0,0,-219.55
0.8,-0.559,-3.8,0,0,15.89,0,0,0,0,-5.35,0,0,0,-25.5739939,0,0,0,-221.95
0.85,-0.625,-4.04,0,0,16.52,0,0,0,0,-5.6,0,0,0,-26.62670732,0,0,0,-226.8
0.875,-0.658,-4.16,0,0,16.83,0,0,0,0,-5.7,0,0,0,-27.00820122,0,0,0,-229.2
0.9,-0.692,-4.28,0,0,17.15,0,0,0,0,-5.85,0,0,0,-27.47942073,0,0,0,-231.6
0.925,-0.729,-4.53,0,0,17.47,0,0,0,0,-5.95,0,0,0,-27.95064025,0,0,0,-233.9
0.95,-0.766,-4.77,0,0,17.79,0,0,0,0,-6.1,0,0,0,-28.32185976,0,0,0,-236.2
0.975,-0.832,-5.15,0,0,18.11,0,0,0,0,-6.2,0,0,0,-28.69307927,0,0,0,-238.75
1,-0.899,-5.53,0,0,18.43,0,0,0,0,-6.35,0,0,0,-29.16429878,0,0,0,-241.35
1.025,-0.92,-5.94,0,0,18.71,0,0,0,0,-6.45,0,0,0,-31.17661585,0,0,0,-255.15
1.05,-0.941,-6.35,0,0,18.98,0,0,0,0,-6.55,0,0,0,-33.39920732,0,0,0,-269
1.1,-0.896,-7.12,0,0,19.59,0,0,0,0,-6.8,0,0,0,-37.87246951,0,0,0,-302.3
1.2,-0.82,-8.13,0,0,18.51,0,0,0,0,-6.35,0,0,0,-35.08210366,0,0,0,-294.15
1.35,-0.767,-7.55,0,0,16.66,0,0,0,0,-5.6,0,0,0,-29.68286585,0,0,0,-275.1
1.5,-0.722,-6.95,0,0,14.75,0,0,0,0,-4.75,0,0,0,-23.94527439,0,0,0,-256.25
1.75,-0.657,-6.34,0,0,14.33,0,0,0,0,-4.55,0,0,0,-21.77679878,0,0,0,-252.45
2,-0.612,-5.74,0,0,10.76,0,0,0,0,-3.1,0,0,0,-10.9447561,0,0,0,-201.95
2.25,-0.572,-5.43,0,0,10.13,0,0,0,0,-2.8,0,0,0,-8.492042683,0,0,0,-193.45
2.5,-0.533,-5.13,0,0,9.51,0,0,0,0,-2.55,0,0,0,-6.029054878,0,0,0,-184.95
3,-0.474,-4.39,0,0,8.17,0,0,0,0,-2.05,0,0,0,-1.80582317,0,0,0,-165.05
3.5,-0.446,-4.05,0,0,7.13,0,0,0,0,-1.65,0,0,0,0.925640244,0,0,0,-147.5
4,-0.418,-3.71,0,0,6.09,0,0,0,0,-1.25,0,0,0,3.757103659,0,0,0,-129.9
