Height_km,Temperature_K,Pressure_mbar,Density_gcm3
-10,214,15.7,0.0000385
-9,214,14.4,0.0000352
-8,214,13.1,0.0000321
-7,214,12,0.0000294
-6,214,10.9,0.0000268
-5,214,10,0.0000245
-4,214,9.16,0.0000224
-3,214,8.36,0.0000204
-2,214,7.63,0.0000187
-1,214,6.96,0.000017
0,214,6.36,0.0000155
1,213.9,5.8,0.0000142
2,213.8,5.3,0.000013
3,213.6,4.84,0.0000118
4,213.4,4.41,0.0000108
5,212.9,4.03,0.0000099
6,212.4,3.68,0.00000906
7,210.8,3.35,0.00000832
8,209.2,3.06,0.00000765
9,207.1,2.79,0.00000704
10,205,2.54,0.00000647
11,203.2,2.31,0.00000594
12,201.4,2.09,0.00000544
13,199.6,1.9,0.00000499
14,197.8,1.73,0.00000456
15,196.2,1.56,0.00000417
16,194.6,1.42,0.00000381
17,193,1.28,0.00000348
18,191.5,1.16,0.00000317
19,189.9,1.05,0.00000289
20,188.3,0.947,0.00000263
21,186.8,0.854,0.00000239
22,185.2,0.77,0.00000218
23,183.8,0.694,0.00000197
24,182.5,0.625,0.00000179
25,181.2,0.562,0.00000162
26,180,0.505,0.00000147
27,178.7,0.454,0.00000133
28,177.5,0.407,0.0000012
29,176.2,0.366,0.00000109
30,175,0.328,0.00000098
31,173.7,0.294,0.000000884
32,172.5,0.263,0.000000797
33,171.2,0.235,0.000000719
34,170,0.21,0.000000647
35,168.7,0.188,0.000000582
36,167.5,0.168,0.000000524
37,166.1,0.149,0.000000471
38,164.8,0.133,0.000000423
39,163.6,0.119,0.000000379
40,162.4,0.106,0.00000034
41,161.2,0.0938,0.000000304
42,160,0.0833,0.000000272
43,159,0.0739,0.000000243
44,158,0.0656,0.000000217
45,157,0.0581,0.000000194
46,156,0.0515,0.000000173
47,155,0.0456,0.000000154
48,154.1,0.0403,0.000000137
49,153.1,0.0356,0.000000122
50,152.2,0.0315,0.000000108
51,151.2,0.0278,0.000000096
52,150.3,0.0245,8.52E-08
53,149.5,0.0216,7.55E-08
54,148.7,0.019,6.69E-08
55,147.9,0.0167,5.92E-08
56,147.2,0.0147,5.23E-08
57,146.4,0.013,4.63E-08
58,145.7,0.0114,4.09E-08
59,144.9,0.01,3.61E-08
60,144.2,0.00878,3.18E-08
61,143.6,0.0077,0.000000028
62,143,0.00675,2.47E-08
63,142.5,0.00592,2.17E-08
64,142,0.00519,1.91E-08
65,141.5,0.00454,1.68E-08
66,141,0.00398,1.48E-08
67,140.5,0.00348,0.000000013
68,140,0.00304,1.14E-08
69,139.7,0.00266,9.97E-09
70,139.5,0.00233,8.73E-09
71,139.2,0.00204,7.65E-09
72,139,0.00178,6.7E-09
73,139,0.00156,5.85E-09
74,139,0.00136,5.12E-09
75,139,0.00119,4.47E-09
76,139,0.00104,3.91E-09
77,139,0.000909,3.42E-09
78,139,0.000795,2.99E-09
79,139,0.000695,2.62E-09
80,139,0.000608,2.29E-09
81,139,0.000532,0.000000002
82,139,0.000465,1.75E-09
83,139,0.000407,1.53E-09
84,139,0.000356,1.34E-09
85,139,0.000311,1.17E-09
86,139,0.000272,1.03E-09
87,139,0.000238,8.97E-10
88,139,0.000209,7.85E-10
89,139,0.000183,6.87E-10
90,139,0.00016,6.01E-10
91,139,0.00014,5.26E-10
92,139,0.000122,4.61E-10
93,139,0.000107,4.03E-10
94,139,0.0000939,3.53E-10
95,139,0.0000822,3.09E-10
96,139,0.000072,2.71E-10
97,139,0.000063,2.37E-10
98,139,0.0000552,2.08E-10
99,139,0.0000483,1.82E-10
100,139,0.0000423,1.59E-10
101,140,0.0000371,1.39E-10
102,141.1,0.0000326,1.21E-10
103,142.1,0.0000286,1.05E-10
104,143.2,0.0000252,9.17E-11
105,144.2,0.0000221,8.01E-11
106,145.2,0.0000195,7.01E-11
107,146.3,0.0000172,6.13E-11
108,147.3,0.0000152,5.38E-11
109,148.4,0.0000134,4.72E-11
110,149.4,0.0000119,4.14E-11
111,150.4,0.0000105,3.64E-11
112,151.5,0.00000933,3.21E-11
113,152.5,0.00000828,2.82E-11
114,153.5,0.00000735,2.49E-11
115,154.6,0.00000653,2.2E-11
116,155.6,0.00000581,1.94E-11
117,156.6,0.00000518,1.72E-11
118,157.7,0.00000461,1.52E-11
119,158.7,0.00000411,1.35E-11
120,159.7,0.00000367,1.19E-11
121,160.8,0.00000328,1.06E-11
122,161.8,0.00000294,9.41E-12
123,162.8,0.00000263,8.36E-12
124,163.8,0.00000235,7.44E-12
125,164.9,0.00000211,6.63E-12
126,165.9,0.00000189,5.91E-12
127,166.9,0.0000017,5.27E-12
128,167.9,0.00000153,4.7E-12
129,169,0.00000137,4.2E-12
130,170,0.00000123,3.76E-12
140,245.1,0.00000052,1.09E-12
150,288.6,0.00000027,4.73E-13
160,314,0.000000153,2.43E-13
170,328.8,9.04E-08,1.35E-13
180,337.5,5.52E-08,7.9E-14
190,342.6,3.45E-08,4.74E-14
200,345.6,2.19E-08,2.92E-14
210,346.4,1.43E-08,1.8E-14
220,347.3,9.53E-09,1.14E-14
230,348.1,6.49E-09,7.42E-15
240,348.9,4.51E-09,4.92E-15
250,349.7,3.19E-09,3.33E-15
260,349.8,2.3E-09,2.24E-15
270,349.8,1.71E-09,1.55E-15
280,349.9,1.29E-09,1.1E-15
290,349.9,9.93E-10,7.94E-16
300,350,7.77E-10,5.87E-16
310,350,6.17E-10,4.39E-16
320,350,4.97E-10,3.34E-16
330,350,4.06E-10,2.59E-16
340,350,3.35E-10,2.03E-16
350,350,2.79E-10,1.61E-16
360,350,2.35E-10,1.3E-16
