ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,VerticalWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,VerticalWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,PerturbedVerticalWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,VerticalStandardDeviation_ms,LongitudeOfTheSun_deg,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,O2nd_m3,O2mass_pct,O2mole_pct,O2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,Ond_m3,Omass_pct,Omole_pct,Oamw,H2Ond_m3,H2Omass_pct,H2Omole_pct,H2Oamw,TemperatureDaily_K,PressureDaily_Pa,DensityDaily_kgm3,EWWindDaily_ms,NSWindDaily_ms,TemperatureMin_K,TemperatureMax_K,DensityMin_kgm3,DensityMax_kgm3,SurfaceHeight_km,PlanetoGraphicHeight_km,PlanetoGraphicLatitude_deg,ReferenceHeight_km,ReferenceRadius_km,GroundTemperature_K,ThermosphereBaseHeight_km,ThermosphereBaseTemperature_K,ExosphericTemperature_K,F1PeakHeight_km,Albedo,HeightOffset_km,LocalHeightOffset_km,DustOpticalDepth,DustColumnArealDensity_kgm2,DustMixingRatio,DustMassDensity_ugm3,DustNumberDensity_m3,IceIsPresent,WavePerturbation_pct
0.0,0.000,0.00,0.00,3386.888,3386.888,3.728,223.0,5.610e+02,1.332e-02,11.642,12.547,237.1,6.398e+02,0.877,1.530,214.0,6.360e+02,1.550e-02,0.0,1.306e-02,1.359e-02,1.343e-02,0.8,2.00,236.2,0.00,-14.1,-15.7,-12.3,-13.4,-1.4,3.5,0.000,-2.4,-0.4,1.562,-3.8,3.0,1.562,3.0,3.0,1.547,359.80,-0.09,360.00,12.00,0.09,5.04,1.56,88774.9,1.8465e+23,1.889e+02,1.335e+00,43.442,0.9869,3.0127e+21,1.50,1.63,39.96,1.7595e+23,96.53,95.29,44.01,1.8259e+20,0.06,0.10,28.01,0.0000e+00,0.00,0.00,2.02,5.0212e+21,1.75,2.72,28.02,2.3737e+20,0.09,0.13,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.5005e+20,0.06,0.14,18.02,223.4,5.630e+02,1.334e-02,-1.2,0.9,217.3,230.1,1.279e-02,1.383e-02,-1.632,-9.312,0.00,-9.312,3396.200,291.2,999.000,0.0,0.0,999.900,0.190,-0.002,0.000,0.300,0.002,8.815e-06,117.420,598013.961,99,0.0
0.1,0.010,0.00,0.00,3386.898,3386.888,3.728,223.0,5.605e+02,1.331e-02,11.642,12.547,237.1,6.398e+02,0.876,1.540,214.0,6.354e+02,1.549e-02,0.0,1.305e-02,1.358e-02,1.340e-02,0.7,2.00,236.2,0.25,-14.1,-15.7,-12.3,-13.4,-1.4,3.5,0.000,-2.5,-0.4,1.560,-3.9,3.1,1.560,3.0,3.0,1.543,359.80,-0.09,360.00,12.00,0.09,5.04,1.56,88774.9,1.8451e+23,1.889e+02,1.335e+00,43.442,0.9869,3.0103e+21,1.50,1.63,39.96,1.7581e+23,96.53,95.29,44.01,1.8244e+20,0.06,0.10,28.01,0.0000e+00,0.00,0.00,2.02,5.0172e+21,1.75,2.72,28.02,2.3718e+20,0.09,0.13,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.4964e+20,0.06,0.14,18.02,223.4,5.625e+02,1.333e-02,-1.2,0.9,217.3,230.1,1.278e-02,1.381e-02,-1.632,-9.302,0.00,-9.302,3396.200,291.2,999.000,0.0,0.0,999.900,0.190,-0.002,0.000,0.300,0.002,8.815e-06,117.325,597531.513,99,0.0
0.2,0.020,0.00,0.00,3386.908,3386.888,3.728,222.9,5.600e+02,1.330e-02,11.642,12.547,237.1,6.398e+02,0.875,1.550,214.0,6.348e+02,1.547e-02,0.0,1.304e-02,1.357e-02,1.340e-02,0.8,2.00,236.2,0.25,-14.0,-15.7,-12.3,-13.4,-1.4,3.4,0.000,-2.4,-0.3,1.693,-3.8,3.1,1.693,3.0,3.0,1.540,359.80,-0.09,360.00,12.00,0.09,5.04,1.56,88774.9,1.8436e+23,1.889e+02,1.335e+00,43.442,0.9869,3.0079e+21,1.50,1.63,39.96,1.7567e+23,96.53,95.29,44.01,1.8230e+20,0.06,0.10,28.01,0.0000e+00,0.00,0.00,2.02,5.0132e+21,1.75,2.72,28.02,2.3699e+20,0.09,0.13,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.4923e+20,0.06,0.14,18.02,223.3,5.620e+02,1.332e-02,-1.2,0.9,217.3,230.1,1.277e-02,1.380e-02,-1.632,-9.292,0.00,-9.292,3396.200,291.2,999.000,0.0,0.0,999.900,0.190,-0.002,0.000,0.300,0.002,8.815e-06,117.230,597049.456,99,0.0
0.3,0.030,0.00,0.00,3386.918,3386.888,3.728,222.9,5.596e+02,1.329e-02,11.642,12.547,237.1,6.398e+02,0.875,1.560,214.0,6.342e+02,1.546e-02,0.0,1.303e-02,1.355e-02,1.339e-02,0.8,2.00,236.2,0.25,-14.0,-15.7,-12.3,-13.4,-1.4,3.4,0.000,-2.4,-0.3,1.686,-3.8,3.2,1.686,2.9,2.9,1.536,359.80,-0.09,360.00,12.00,0.09,5.04,1.56,88774.9,1.8421e+23,1.889e+02,1.335e+00,43.442,0.9869,3.0055e+21,1.50,1.63,39.96,1.7553e+23,96.53,95.29,44.01,1.8215e+20,0.06,0.10,28.01,0.0000e+00,0.00,0.00,2.02,5.0092e+21,1.75,2.72,28.02,2.3680e+20,0.09,0.13,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.4882e+20,0.06,0.14,18.02,223.3,5.616e+02,1.331e-02,-1.2,0.9,217.3,230.1,1.276e-02,1.379e-02,-1.632,-9.282,0.00,-9.282,3396.200,291.2,999.000,0.0,0.0,999.900,0.190,-0.002,0.000,0.300,0.002,8.815e-06,117.136,596567.788,99,0.0
0.4,0.040,0.00,0.00,3386.928,3386.888,3.728,222.9,5.591e+02,1.328e-02,11.642,12.547,237.1,6.398e+02,0.874,1.570,214.0,6.337e+02,1.545e-02,0.0,1.302e-02,1.354e-02,1.337e-02,0.7,2.00,236.2,0.25,-14.0,-15.7,-12.3,-13.4,-1.4,3.4,0.000,-2.5,-0.3,1.632,-3.9,3.1,1.632,2.9,2.9,1.532,359.80,-0.09,360.00,12.00,0.09,5.04,1.56,88774.9,1.8406e+23,1.889e+02,1.335e+00,43.442,0.9869,3.0031e+21,1.50,1.63,39.96,1.7539e+23,96.53,95.29,44.01,1.8201e+20,0.06,0.10,28.01,0.0000e+00,0.00,0.00,2.02,5.0052e+21,1.75,2.72,28.02,2.3661e+20,0.09,0.13,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.4841e+20,0.06,0.13,18.02,223.3,5.611e+02,1.330e-02,-1.2,0.9,217.3,230.0,1.275e-02,1.378e-02,-1.632,-9.272,0.00,-9.272,3396.200,291.2,999.000,0.0,0.0,999.900,0.190,-0.002,0.000,0.300,0.002,8.815e-06,117.041,596086.511,99,0.0
0.5,0.050,0.00,0.00,3386.938,3386.888,3.728,222.9,5.586e+02,1.327e-02,11.642,12.547,237.1,6.398e+02,0.873,1.580,214.0,6.331e+02,1.543e-02,0.0,1.301e-02,1.353e-02,1.338e-02,0.8,2.00,236.1,0.25,-14.0,-15.7,-12.3,-13.3,-1.4,3.4,0.000,-2.6,-0.1,1.588,-4.0,3.3,1.588,2.9,2.9,1.528,359.80,-0.09,360.00,12.00,0.09,5.04,1.56,88774.9,1.8392e+23,1.889e+02,1.335e+00,43.442,0.9869,3.0007e+21,1.50,1.63,39.96,1.7525e+23,96.53,95.29,44.01,1.8186e+20,0.06,0.10,28.01,0.0000e+00,0.00,0.00,2.02,5.0012e+21,1.75,2.72,28.02,2.3642e+20,0.09,0.13,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.4801e+20,0.06,0.13,18.02,223.3,5.606e+02,1.329e-02,-1.2,0.9,217.3,230.0,1.274e-02,1.377e-02,-1.632,-9.262,0.00,-9.262,3396.200,291.2,999.000,0.0,0.0,999.900,0.190,-0.002,0.000,0.300,0.002,8.815e-06,116.947,595605.623,99,0.0
0.6,0.060,0.00,0.00,3386.948,3386.888,3.728,222.9,5.581e+02,1.326e-02,11.642,12.547,237.1,6.398e+02,0.872,1.590,214.0,6.325e+02,1.542e-02,0.0,1.300e-02,1.352e-02,1.335e-02,0.7,2.00,236.2,0.25,-14.0,-15.7,-12.3,-13.4,-1.4,3.4,0.000,-2.5,-0.3,1.644,-3.9,3.1,1.644,2.9,2.9,1.524,359.80,-0.09,360.00,12.00,0.09,5.04,1.56,88774.9,1.8377e+23,1.889e+02,1.335e+00,43.442,0.9869,2.9984e+21,1.50,1.63,39.96,1.7511e+23,96.53,95.29,44.01,1.8172e+20,0.06,0.10,28.01,0.0000e+00,0.00,0.00,2.02,4.9973e+21,1.75,2.72,28.02,2.3623e+20,0.09,0.13,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.4760e+20,0.06,0.13,18.02,223.3,5.601e+02,1.328e-02,-1.2,0.9,217.2,230.0,1.273e-02,1.376e-02,-1.632,-9.252,0.00,-9.252,3396.200,291.2,999.000,0.0,0.0,999.900,0.190,-0.002,0.000,0.300,0.002,8.815e-06,116.853,595125.125,99,0.0
0.7,0.070,0.00,0.00,3386.958,3386.888,3.727,222.9,5.576e+02,1.325e-02,11.642,12.547,237.0,6.398e+02,0.872,1.600,214.0,6.319e+02,1.541e-02,0.0,1.299e-02,1.351e-02,1.335e-02,0.8,2.00,236.1,0.25,-14.0,-15.7,-12.3,-13.3,-1.4,3.4,0.000,-2.8,-0.2,1.592,-4.2,3.2,1.592,2.9,2.9,1.521,359.80,-0.09,360.00,12.00,0.09,5.04,1.56,88774.9,1.8362e+23,1.889e+02,1.335e+00,43.442,0.9869,2.9960e+21,1.50,1.63,39.96,1.7497e+23,96.53,95.29,44.01,1.8157e+20,0.06,0.10,28.01,0.0000e+00,0.00,0.00,2.02,4.9933e+21,1.75,2.72,28.02,2.3605e+20,0.09,0.13,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.4719e+20,0.06,0.13,18.02,223.3,5.596e+02,1.327e-02,-1.2,0.9,217.2,230.0,1.272e-02,1.375e-02,-1.632,-9.242,0.00,-9.242,3396.200,291.2,999.000,0.0,0.0,999.900,0.190,-0.002,0.000,0.300,0.002,8.815e-06,116.758,594645.015,99,0.0
0.8,0.080,0.00,0.00,3386.968,3386.888,3.727,222.9,5.572e+02,1.324e-02,11.642,12.547,237.0,6.398e+02,0.871,1.610,214.0,6.313e+02,1.539e-02,0.0,1.298e-02,1.350e-02,1.335e-02,0.9,2.00,236.0,0.25,-14.0,-15.7,-12.3,-13.2,-1.4,3.4,0.000,-2.8,-0.2,1.560,-4.2,3.2,1.560,2.9,2.9,1.517,359.80,-0.09,360.00,12.00,0.09,5.04,1.56,88774.9,1.8348e+23,1.889e+02,1.335e+00,43.442,0.9869,2.9936e+21,1.50,1.63,39.96,1.7483e+23,96.53,95.29,44.01,1.8143e+20,0.06,0.10,28.01,0.0000e+00,0.00,0.00,2.02,4.9893e+21,1.75,2.72,28.02,2.3586e+20,0.09,0.13,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.4679e+20,0.06,0.13,18.02,223.2,5.592e+02,1.326e-02,-1.2,0.9,217.2,230.0,1.271e-02,1.373e-02,-1.632,-9.232,0.00,-9.232,3396.200,291.2,999.000,0.0,0.0,999.900,0.190,-0.002,0.000,0.300,0.002,8.815e-06,116.664,594165.294,99,0.0
0.9,0.090,0.00,0.00,3386.978,3386.888,3.727,222.8,5.567e+02,1.322e-02,11.642,12.547,237.0,6.398e+02,0.870,1.620,214.0,6.307e+02,1.538e-02,0.0,1.297e-02,1.349e-02,1.334e-02,0.9,2.00,236.0,0.25,-14.0,-15.7,-12.3,-13.3,-1.4,3.4,0.000,-2.7,-0.1,1.547,-4.1,3.3,1.547,2.9,2.9,1.513,359.80,-0.09,360.00,12.00,0.09,5.04,1.56,88774.9,1.8333e+23,1.889e+02,1.335e+00,43.442,0.9869,2.9912e+21,1.50,1.63,39.96,1.7469e+23,96.53,95.29,44.01,1.8128e+20,0.06,0.10,28.01,0.0000e+00,0.00,0.00,2.02,4.9853e+21,1.75,2.72,28.02,2.3567e+20,0.09,0.13,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.4638e+20,0.06,0.13,18.02,223.2,5.587e+02,1.325e-02,-1.2,0.9,217.2,229.9,1.270e-02,1.372e-02,-1.632,-9.222,0.00,-9.222,3396.200,291.2,999.000,0.0,0.0,999.900,0.190,-0.002,0.000,0.300,0.002,8.814e-06,116.570,593685.961,99,0.0
